ASN | Shares | ANSON RESOURCES LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.522344 | 2018-12-24 04:05:47.522344
ATT | Shares | ANTE REAL ESTATE TRUST | Real Estate | AUD | None | None | 2018-12-24 04:05:47.522357 | 2018-12-24 04:05:47.522357
ADO | Shares | ANTEO DIAGNOSTICS LIMITED | Pharmaceuticals, Biotechnology & Life Sciences | AUD | None | None | 2018-12-24 04:05:47.522371 | 2018-12-24 04:05:47.522371
AZY | Shares | ANTIPA MINERALS LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.522384 | 2018-12-24 04:05:47.522384
APL | Shares | ANTIPODES GLOBAL INVESTMENT COMPANY LTD | Not Applic | AUD | None | None | 2018-12-24 04:05:47.522397 | 2018-12-24 04:05:47.522397
ANP | Shares | ANTISENSE THERAPEUTICS LIMITED | Pharmaceuticals, Biotechnology & Life Sciences | AUD | None | None | 2018-12-24 04:05:47.522411 | 2018-12-24 04:05:47.522411
APE | Shares | AP EAGERS LIMITED | Retailing | AUD | None | None | 2018-12-24 04:05:47.522424 | 2018-12-24 04:05:47.522424
APA | Shares | APA GROUP | Utilities | AUD | None | None | 2018-12-24 04:05:47.522436 | 2018-12-24 04:05:47.522436
AHX | Shares | APIAM ANIMAL HEALTH LIMITED | Health Care Equipment & Services | AUD | None | None | 2018-12-24 04:05:47.522450 | 2018-12-24 04:05:47.522450
APD | Shares | APN PROPERTY GROUP LIMITED | Diversified Financials | AUD | None | None | 2018-12-24 04:05:47.522463 | 2018-12-24 04:05:47.522463
AOP | Shares | APOLLO CONSOLIDATED LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.522476 | 2018-12-24 04:05:47.522476
AON | Shares | APOLLO MINERALS LIMITED | Materials | AUD | None | None | 2018-12-24 04:05:47.522489 | 2018-12-24 04:05:47.522489
AOJ | Shares | APOLLO SERIES 2010-1 TRUST | Not Applic | AUD | None | None | 2018-12-24 04:05:47.522502 | 2018-12-24 04:05:47.522502
AOR | Shares | APOLLO SERIES 2013-1 TRUST | Not Applic | AUD | None | None | 2018-12-24 04:05:47.522515 | 2018-12-24 04:05:47.522515
AOL | Shares | APOLLO SERIES 2015-1 TRUST | Not Applic | AUD | None | None | 2018-12-24 04:05:47.522528 | 2018-12-24 04:05:47.522528
AO2 | Shares | APOLLO SERIES 2017-2 TRUST | Not Applic | AUD | None | None | 2018-12-24 04:05:47.522541 | 2018-12-24 04:05:47.522541
AO3 | Shares | APOLLO SERIES 2018-1 TRUST | Not Applic | AUD | None | None | 2018-12-24 04:05:47.522554 | 2018-12-24 04:05:47.522554
ATL | Shares | APOLLO TOURISM & LEISURE LTD | Automobiles & Components | AUD | None | None | 2018-12-24 04:05:47.522567 | 2018-12-24 04:05:47.522567
APX | Shares | APPEN LIMITED | Software & Services | AUD | None | None | 2018-12-24 04:05:47.522580 | 2018-12-24 04:05:47.522580
AD1 | Shares | APPLYDIRECT LIMITED | Media & Entertainment | AUD | None | None | 2018-12-24 04:05:47.522593 | 2018-12-24 04:05:47.522593
AQH | Shares | APT PIPELINES LIMITED. | Not Applic | AUD | None | None | 2018-12-24 04:05:47.522606 | 2018-12-24 04:05:47.522606
